,Unnamed: 0,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
0,14,10/31/1983,0.669209663,0.669657805
1,36,11/30/1983,0.68119891,0.68189567
2,58,12/30/1983,0.688705234,0.689179876
3,80,01/31/1984,0.7140307029999999,0.7145409070000001
4,101,02/29/1984,0.670600858,0.671050866
5,123,03/30/1984,0.692760651,0.6932409009999999
6,144,04/30/1984,0.7160759040000001,0.7165890359999999
7,167,05/31/1984,0.721761097,0.722282412
8,188,06/29/1984,0.736919676,0.737463127
9,210,07/31/1984,0.7645259940000001,0.765110941
10,233,08/31/1984,0.762951095,0.7635336340000001
11,253,09/28/1984,0.8090614890000001,0.809716599
12,276,10/31/1984,0.8190008190000001,0.8196721309999999
13,298,11/30/1984,0.830220008,0.830909846
14,319,12/31/1984,0.862663906,0.863408738
15,342,01/31/1985,0.884173298,0.884955752
16,362,02/28/1985,0.923787529,0.924641701
17,383,03/29/1985,0.807102502,0.8103727709999999
18,405,04/30/1985,0.803858521,0.805152979
19,428,05/31/1985,0.776397516,0.777604977
20,448,06/28/1985,0.7630675309999999,0.7636502479999999
21,471,07/31/1985,0.7089684509999999,0.709723208
22,493,08/30/1985,0.71787509,0.71864894
23,514,09/30/1985,0.709723208,0.7104795740000001
24,537,10/31/1985,0.689655172,0.699300699
25,558,11/29/1985,0.671591672,0.672043011
26,580,12/31/1985,0.691085003,0.692041522
27,603,01/31/1986,0.7074637420000001,0.707964602
28,623,02/28/1986,0.690607735,0.6915629320000001
29,644,03/31/1986,0.674308833,0.674763833
30,666,04/30/1986,0.646412411,0.64683053
31,688,05/30/1986,0.6788866259999999,0.679347826
32,709,06/30/1986,0.652315721,0.652741514
33,732,07/31/1986,0.670690812,0.67114094
34,753,08/29/1986,0.6722689079999999,0.672721157
35,775,09/30/1986,0.690607735,0.691085003
36,798,10/31/1986,0.7109847140000001,0.711490573
37,818,11/28/1986,0.697107006,0.6978367059999999
38,841,12/31/1986,0.674308833,0.674763833
39,863,01/30/1987,0.660501982,0.6609385329999999
40,883,02/27/1987,0.646746863,0.647165415
41,905,03/31/1987,0.622858922,0.623247117
42,927,04/30/1987,0.602409639,0.602772755
43,948,05/29/1987,0.613496933,0.613873542
44,970,06/30/1987,0.619770685,0.620155039
45,993,07/31/1987,0.628338046,0.628733103
46,1014,08/31/1987,0.61244488,0.612820199
47,1036,09/30/1987,0.61500615,0.615384615
48,1058,10/30/1987,0.5807200929999999,0.581057525
49,1079,11/30/1987,0.546896363,0.547195622
50,1102,12/31/1987,0.529661017,0.530222694
51,1123,01/29/1988,0.564971751,0.565291125
52,1144,02/29/1988,0.563602547,0.563920374
53,1167,03/31/1988,0.529801325,0.530222694
54,1188,04/29/1988,0.531914894,0.532197978
55,1210,05/31/1988,0.54377379,0.544069641
56,1232,06/30/1988,0.586166471,0.586510264
57,1253,07/29/1988,0.585137507,0.585651537
58,1276,08/31/1988,0.594177065,0.594530321
59,1298,09/30/1988,0.591366056,0.591715976
60,1319,10/31/1988,0.5648122,0.5651313929999999
61,1341,11/30/1988,0.541418517,0.5417118089999999
62,1363,12/30/1988,0.553097345,0.553709856
63,1385,01/31/1989,0.570613409,0.570939195
64,1405,02/28/1989,0.5730659029999999,0.573394495
65,1428,03/31/1989,0.591891092,0.592241635
66,1448,04/28/1989,0.591891092,0.592241635
67,1471,05/31/1989,0.634920635,0.635727908
68,1493,06/30/1989,0.645577792,0.6459948320000001
69,1514,07/31/1989,0.59962823,0.599988
70,1537,08/31/1989,0.635324015,0.635727908
71,1558,09/29/1989,0.61842919,0.6188118810000001
72,1580,10/31/1989,0.6327111670000001,0.633111744
73,1602,11/30/1989,0.636456212,0.636861546
74,1623,12/29/1989,0.619578686,0.620347395
75,1646,01/31/1990,0.594883998,0.595238095
76,1666,02/28/1990,0.591366056,0.591715976
77,1688,03/30/1990,0.607348922,0.607718019
78,1709,04/30/1990,0.610687023,0.611060189
79,1732,05/31/1990,0.596480763,0.596836765
80,1753,06/29/1990,0.572573719,0.5729017470000001
81,1775,07/31/1990,0.537345513,0.537634409
82,1798,08/31/1990,0.52882073,0.5291005289999999
83,1818,09/28/1990,0.5330490410000001,0.533333333
84,1841,10/31/1990,0.513795407,0.514059528
85,1863,11/30/1990,0.514588586,0.514853524
86,1884,12/31/1990,0.518000518,0.5188067439999999
87,1907,01/31/1991,0.508517671,0.508776393
88,1927,02/28/1991,0.522739153,0.5230125520000001
89,1948,03/29/1991,0.575705239,0.576701269
90,1970,04/30/1991,0.579038796,0.579374276
91,1993,05/31/1991,0.588235294,0.588581519
92,2013,06/28/1991,0.61709349,0.617474529
93,2036,07/31/1991,0.59311981,0.59347181
94,2058,08/30/1991,0.595592615,0.595947557
95,2079,09/30/1991,0.570776256,0.571102227
96,2102,10/31/1991,0.573230152,0.5735589329999999
97,2123,11/29/1991,0.565195275,0.565514901
98,2145,12/31/1991,0.535331906,0.535905681
99,2168,01/31/1992,0.558659218,0.5589714920000001
100,2188,02/28/1992,0.5688282139999999,0.569151964
101,2210,03/31/1992,0.575705239,0.576036866
102,2232,04/30/1992,0.563539025,0.56385678
103,2253,05/29/1992,0.546597431,0.546896363
104,2275,06/30/1992,0.5250721970000001,0.5253480429999999
105,2298,07/31/1992,0.51975052,0.520020801
106,2319,08/31/1992,0.504413619,0.504668181
107,2341,09/30/1992,0.560852496,0.561167228
108,2363,10/30/1992,0.639795266,0.640204866
109,2384,11/30/1992,0.660720185,0.661157025
110,2407,12/31/1992,0.660501982,0.661813369
111,2428,01/29/1993,0.672494956,0.67294751
112,2448,02/26/1993,0.703482237,0.703977473
113,2471,03/31/1993,0.663570007,0.664010624
114,2493,04/30/1993,0.637145588,0.637551801
115,2514,05/31/1993,0.640409862,0.64082025
116,2536,06/30/1993,0.669120107,0.669568129
117,2558,07/30/1993,0.6740815640000001,0.6745362559999999
118,2580,08/31/1993,0.6722689079999999,0.672721157
119,2602,09/30/1993,0.667556742,0.6680026720000001
120,2623,10/29/1993,0.6723593090000001,0.67281168
121,2645,11/30/1993,0.673219335,0.673672864
122,2668,12/31/1993,0.6761325220000001,0.677506775
123,2689,01/31/1994,0.666222518,0.666666667
124,2709,02/28/1994,0.671591672,0.672043011
125,2732,03/31/1994,0.6714113070000001,0.671862403
126,2753,04/29/1994,0.660153156,0.660589246
127,2775,05/31/1994,0.661200741,0.6616382160000001
128,2797,06/30/1994,0.645786245,0.646203554
129,2818,07/29/1994,0.648929267,0.64977258
130,2841,08/31/1994,0.650872169,0.651296079
131,2863,09/30/1994,0.6346788529999999,0.635081926
132,2884,10/31/1994,0.611246944,0.611620795
133,2906,11/30/1994,0.637673766,0.6380806529999999
134,2928,12/30/1994,0.6381620929999999,0.638569604
135,2950,01/31/1995,0.633071664,0.6334726970000001
136,2970,02/28/1995,0.631074088,0.631472594
137,2993,03/31/1995,0.615233173,0.61599113
138,3013,04/28/1995,0.62150404,0.621890547
139,3036,05/31/1995,0.630119723,0.630517024
140,3058,06/30/1995,0.628693575,0.629089079
141,3079,07/31/1995,0.625625626,0.626017278
142,3102,08/31/1995,0.644080897,0.644496004
143,3123,09/29/1995,0.6321112520000001,0.632511069
144,3145,10/31/1995,0.6321112520000001,0.632511069
145,3167,11/30/1995,0.6531678639999999,0.653594771
146,3188,12/29/1995,0.643500644,0.6439150029999999
147,3211,01/31/1996,0.660763843,0.661200741
148,3232,02/29/1996,0.65257113,0.652997257
149,3253,03/29/1996,0.654964632,0.655393892
150,3275,04/30/1996,0.6646284729999999,0.665070497
151,3298,05/31/1996,0.644246875,0.644662197
152,3318,06/28/1996,0.643583473,0.643997939
153,3341,07/31/1996,0.642467074,0.642880103
154,3363,08/30/1996,0.639959043,0.640368852
155,3384,09/30/1996,0.638977636,0.639386189
156,3407,10/31/1996,0.614175163,0.6145526060000001
157,3428,11/29/1996,0.594530321,0.594883998
158,3450,12/31/1996,0.58356676,0.583907509
159,3473,01/31/1997,0.624219725,0.624609619
160,3493,02/28/1997,0.613647521,0.614024315
161,3514,03/31/1997,0.612745098,0.613120785
162,3536,04/30/1997,0.6169031460000001,0.617283951
163,3558,05/30/1997,0.610873549,0.611246944
164,3579,06/30/1997,0.6003842460000001,0.600744924
165,3602,07/31/1997,0.6092360179999999,0.609607413
166,3623,08/29/1997,0.616674889,0.617055412
167,3645,09/30/1997,0.619885941,0.6202704379999999
168,3668,10/31/1997,0.596125186,0.596480763
169,3688,11/28/1997,0.592276712,0.592627711
170,3711,12/31/1997,0.604521823,0.604887491
171,3733,01/30/1998,0.612820199,0.6131959770000001
172,3753,02/27/1998,0.6075334139999999,0.607902736
173,3775,03/31/1998,0.5960896520000001,0.596445187
174,3797,04/30/1998,0.597657184,0.5980145920000001
175,3818,05/29/1998,0.6123698710000001,0.612745098
176,3840,06/30/1998,0.598515681,0.598874117
177,3863,07/31/1998,0.611620795,0.611995104
178,3884,08/31/1998,0.5977286310000001,0.5980861239999999
179,3906,09/30/1998,0.588512241,0.588858792
180,3928,10/30/1998,0.59751434,0.597871577
181,3949,11/30/1998,0.6059137179999999,0.606281072
182,3972,12/31/1998,0.6008893160000001,0.601250601
183,3993,01/29/1999,0.607681089,0.60805059
184,4013,02/26/1999,0.622665006,0.62305296
185,4036,03/31/1999,0.61896509,0.619348445
186,4058,04/30/1999,0.6214267960000001,0.621813207
187,4079,05/31/1999,0.624375624,0.624765713
188,4101,06/30/1999,0.634356762,0.634759426
189,4123,07/30/1999,0.6165988410000001,0.616979269
190,4145,08/31/1999,0.622045285,0.622432466
191,4167,09/30/1999,0.607164542,0.6075334139999999
192,4188,10/29/1999,0.607902736,0.608272506
193,4210,11/30/1999,0.62751004,0.627904056
194,4233,12/31/1999,0.619655472,0.620039683
195,4254,01/31/2000,0.617894217,0.618276246
196,4275,02/29/2000,0.632431065,0.632831287
197,4298,03/31/2000,0.62672349,0.627116518
198,4318,04/28/2000,0.643500644,0.6439150029999999
199,4341,05/31/2000,0.667645881,0.668091929
200,4363,06/30/2000,0.659630607,0.6600660070000001
201,4384,07/31/2000,0.666755567,0.667200427
202,4407,08/31/2000,0.690131125,0.690607735
203,4428,09/29/2000,0.676041103,0.676498444
204,4450,10/31/2000,0.689464975,0.689940665
205,4472,11/30/2000,0.701557458,0.7020499859999999
206,4493,12/29/2000,0.668806849,0.669254451
207,4516,01/31/2001,0.684837693,0.6853070179999999
208,4536,02/28/2001,0.691658597,0.69213732
209,4558,03/30/2001,0.7046223220000001,0.705119165
210,4579,04/30/2001,0.6986167390000001,0.699105145
211,4602,05/31/2001,0.705019741,0.7055171440000001
212,4623,06/29/2001,0.707714084,0.708014727
213,4645,07/31/2001,0.702148575,0.702444507
214,4668,08/31/2001,0.6886578059999999,0.688942473
215,4688,09/28/2001,0.679948324,0.680225835
216,4711,10/31/2001,0.687285223,0.687568757
217,4733,11/30/2001,0.70229651,0.7025925670000001
218,4754,12/31/2001,0.688041833,0.6883259909999999
219,4777,01/31/2002,0.7074136959999999,0.707714084
220,4797,02/28/2002,0.706613906,0.706913615
221,4818,03/29/2002,0.702148575,0.702444507
222,4840,04/30/2002,0.68540096,0.68568294
223,4863,05/31/2002,0.683947746,0.684228532
224,4883,06/28/2002,0.654750213,0.6550075329999999
225,4906,07/31/2002,0.638977636,0.639222705
226,4928,08/30/2002,0.645869664,0.646120049
227,4949,09/30/2002,0.637226789,0.637470517
228,4972,10/31/2002,0.639467963,0.639713408
229,4993,11/29/2002,0.642384531,0.642632222
230,5015,12/31/2002,0.621040864,0.621272366
231,5038,01/31/2003,0.6078657829999999,0.608087565
232,5058,02/28/2003,0.63496095,0.635202947
233,5079,03/31/2003,0.632951453,0.63319192
234,5101,04/30/2003,0.624726682,0.62496094
235,5123,05/30/2003,0.609310261,0.609533098
236,5144,06/30/2003,0.604668037,0.604887491
237,5167,07/31/2003,0.621388181,0.621619942
238,5188,08/29/2003,0.633713561,0.633954609
239,5210,09/30/2003,0.601178309,0.6013952370000001
240,5233,10/31/2003,0.589483612,0.589692181
241,5253,11/28/2003,0.580686371,0.58088876
242,5276,12/31/2003,0.561797753,0.561987187
243,5298,01/30/2004,0.547915183,0.548095369
244,5318,02/27/2004,0.536135535,0.536308055
245,5341,03/31/2004,0.543448726,0.543625985
246,5363,04/30/2004,0.563666084,0.56385678
247,5384,05/31/2004,0.5462689829999999,0.546448087
248,5406,06/30/2004,0.5512375279999999,0.551419906
249,5428,07/30/2004,0.549692172,0.549873529
250,5450,08/31/2004,0.556359185,0.556544969
251,5472,09/30/2004,0.5516937,0.55187638
252,5493,10/29/2004,0.5448106779999999,0.5449888279999999
253,5515,11/30/2004,0.524273881,0.52443885
254,5538,12/31/2004,0.52208416,0.522247754
255,5559,01/31/2005,0.53157559,0.5317451879999999
256,5579,02/28/2005,0.519777535,0.519939687
257,5602,03/31/2005,0.529324582,0.5294927460000001
258,5623,04/29/2005,0.523149359,0.523313622
259,5645,05/31/2005,0.548335801,0.548516264
260,5667,06/30/2005,0.557786702,0.55797344
261,5688,07/29/2005,0.568731161,0.5689253000000001
262,5711,08/31/2005,0.55401662,0.5542008420000001
263,5733,09/30/2005,0.56557887,0.565770863
264,5754,10/31/2005,0.565259171,0.565450947
265,5776,11/30/2005,0.576900888,0.577100646
266,5798,12/30/2005,0.581902822,0.58210606
267,5820,01/31/2006,0.560098577,0.5602868670000001
268,5840,02/28/2006,0.570125428,0.57032052
269,5863,03/31/2006,0.575175429,0.5753739929999999
270,5883,04/28/2006,0.54866674,0.54884742
271,5906,05/31/2006,0.53361793,0.533788833
272,5928,06/30/2006,0.541154824,0.541330591
273,5949,07/31/2006,0.5351600129999999,0.535331906
274,5972,08/31/2006,0.525458463,0.525624179
275,5993,09/29/2006,0.534130969,0.534302201
276,6015,10/31/2006,0.523916802,0.524026621
277,6037,11/30/2006,0.508001016,0.508104263
278,6058,12/29/2006,0.510594843,0.5106991470000001
279,6081,01/31/2007,0.509761941,0.509865905
280,6101,02/28/2007,0.509865905,0.5099699120000001
281,6123,03/30/2007,0.5079236079999999,0.508026824
282,6144,04/30/2007,0.499950005,0.500050005
283,6167,05/31/2007,0.505127039,0.5052291210000001
284,6188,06/29/2007,0.49810719299999995,0.49820645700000005
285,6210,07/31/2007,0.491400491,0.49149709999999996
286,6233,08/31/2007,0.495564696,0.49566294899999996
287,6253,09/28/2007,0.489739948,0.489835905
288,6276,10/31/2007,0.48106989899999997,0.48116248899999997
289,6298,11/30/2007,0.486286715,0.486381323
290,6319,12/31/2007,0.504210155,0.504311866
291,6342,01/31/2008,0.502512563,0.502613591
292,6363,02/29/2008,0.50347397,0.503575385
293,6384,03/31/2008,0.503905266,0.504006854
294,6406,04/30/2008,0.504133898,0.5042355789999999
295,6428,05/30/2008,0.5052035970000001,0.50530571
296,6449,06/30/2008,0.502361097,0.5024620639999999
297,6472,07/31/2008,0.504617248,0.504719124
298,6493,08/29/2008,0.549239304,0.549359996
299,6515,09/30/2008,0.560098577,0.56022409
300,6538,10/31/2008,0.615384615,0.615536132
301,6558,11/28/2008,0.653381248,0.653552055
302,6581,12/31/2008,0.68310677,0.683293475
303,6603,01/30/2009,0.693096756,0.693288963
304,6623,02/27/2009,0.699251801,0.699447437
305,6645,03/31/2009,0.6987143659999999,0.6989097009999999
306,6667,04/30/2009,0.6743997840000001,0.6745817590000001
307,6688,05/29/2009,0.6178178670000001,0.617970585
308,6710,06/30/2009,0.607164542,0.607312037
309,6733,07/31/2009,0.597978832,0.5981218970000001
310,6754,08/31/2009,0.613045611,0.6131959770000001
311,6776,09/30/2009,0.623908161,0.624063904
312,6798,10/30/2009,0.607718019,0.6078657829999999
313,6819,11/30/2009,0.609124688,0.6092731370000001
314,6842,12/31/2009,0.618658748,0.6188118810000001
315,6863,01/29/2010,0.624648635,0.6248047489999999
316,6883,02/26/2010,0.657289339,0.657462196
317,6906,03/31/2010,0.658111221,0.658284511
318,6928,04/30/2010,0.654321795,0.654493095
319,6949,05/31/2010,0.690417012,0.690607735
320,6971,06/30/2010,0.668493883,0.668672685
321,6993,07/30/2010,0.636739892,0.636902108
322,7015,08/31/2010,0.651890482,0.6520605110000001
323,7037,09/30/2010,0.6364967220000001,0.636658815
324,7058,10/29/2010,0.6241807629999999,0.624336642
325,7080,11/30/2010,0.642219511,0.642384531
326,7103,12/31/2010,0.64008193,0.640245854
327,7124,01/31/2011,0.623402531,0.623558022
328,7144,02/28/2011,0.6150818060000001,0.615233173
329,7167,03/31/2011,0.622393726,0.622548714
330,7188,04/29/2011,0.598587334,0.598730691
331,7210,05/31/2011,0.6085316129999999,0.608679774
332,7232,06/30/2011,0.621542669,0.621697233
333,7253,07/29/2011,0.607828835,0.607976654
334,7276,08/31/2011,0.6143638260000001,0.614514841
335,7298,09/30/2011,0.639549757,0.639713408
336,7319,10/31/2011,0.619962802,0.6201165820000001
337,7341,11/30/2011,0.636334712,0.6364967220000001
338,7363,12/30/2011,0.6439150029999999,0.644080897
339,7385,01/31/2012,0.634517766,0.6346788529999999
340,7406,02/29/2012,0.626644943,0.626802056
341,7428,03/30/2012,0.625156289,0.625312656
342,7449,04/30/2012,0.616104984,0.616256856
343,7472,05/31/2012,0.648424329,0.6485925539999999
344,7493,06/29/2012,0.6377551020000001,0.637917836
345,7515,07/31/2012,0.638121371,0.638284292
346,7538,08/31/2012,0.630199143,0.630358043
347,7558,09/28/2012,0.619156709,0.619310089
348,7581,10/31/2012,0.6198475179999999,0.62000124
349,7603,11/30/2012,0.623908161,0.624063904
350,7624,12/31/2012,0.6147037129999999,0.6148548939999999
351,7647,01/31/2013,0.630238861,0.630397781
352,7667,02/28/2013,0.658457892,0.658631364
353,7688,03/29/2013,0.658978583,0.65915233
354,7710,04/30/2013,0.6434592370000001,0.643624895
355,7733,05/31/2013,0.658718135,0.658891744
356,7753,06/28/2013,0.658284511,0.658457892
357,7776,07/31/2013,0.658457892,0.658631364
358,7798,08/30/2013,0.646078305,0.646245315
359,7819,09/30/2013,0.6177033789999999,0.61785604
360,7842,10/31/2013,0.62289772,0.62305296
361,7863,11/29/2013,0.610873549,0.6110228520000001
362,7885,12/31/2013,0.6035731529999999,0.6037189079999999
363,7908,01/31/2014,0.607828835,0.607976654
364,7928,02/28/2014,0.596587519,0.59672992
365,7949,03/31/2014,0.5995922770000001,0.599736116
366,7971,04/30/2014,0.592452159,0.592592593
367,7993,05/30/2014,0.596516345,0.596658711
368,8014,06/30/2014,0.584624379,0.584761125
369,8037,07/31/2014,0.592206562,0.592346878
370,8058,08/29/2014,0.602990835,0.603136309
371,8080,09/30/2014,0.616788996,0.616941206
372,8103,10/31/2014,0.625,0.625156289
373,8123,11/28/2014,0.639427073,0.639590662
374,8146,12/31/2014,0.641560275,0.641724957
375,8168,01/30/2015,0.665114732,0.66529173
376,8188,02/27/2015,0.647668394,0.647836227
377,8210,03/31/2015,0.67335533,0.6735367409999999
378,8232,04/30/2015,0.651678071,0.651847989
379,8253,05/29/2015,0.655093351,0.655265055
380,8275,06/30/2015,0.636213259,0.636375207
381,8298,07/31/2015,0.639549757,0.639713408
382,8319,08/31/2015,0.650533437,0.650702759
383,8341,09/30/2015,0.6610696110000001,0.661244462
384,8363,10/30/2015,0.647249191,0.647416807
385,8384,11/30/2015,0.6645843029999999,0.664761018
386,8407,12/31/2015,0.6779661020000001,0.678150007
387,8428,01/29/2016,0.7044237809999999,0.7046223220000001
